,species_name,phylo_level,parent,F12246,F12247,F12248,F12249,F12250,F12252,F12253,F12254,F12255,F12257,F12260,F12261,F12262,F12263,F12265,F12266,F12268,F12269,F12270,F12271,F12272,F12273,F12276,F12277,F12278,F12279,F12280,F12281,F12284,F12285,F12286,F12287,F12289,F12292,F12293,F12294,F12295,F12296,F12300,F12301,F12303,F12304,F12307,F12308,F12310,F12311,F12312,F12315,F12316,F12317,F12318,F12320,F12321,F12323,F12324,F12326,F12327,F12328,F12329,F12331,F12332,F12333,F12339
1969841,Proteus phage VB_PmiS-Isfahan,S,2315205,21641.0,13882.0,25639.0,20658.0,45659.0,23996.0,57530.0,31570.0,28902.0,37521.0,30918.0,48571.0,15960.0,27515.0,29669.0,47442.0,30782.0,37852.0,19782.0,4668.0,79012.0,37951.0,45826.0,30972.0,17335.0,36991.0,21142.0,19889.0,31723.0,23277.0,42243.0,39125.0,45354.0,22015.0,42027.0,31206.0,41066.0,57334.0,47106.0,64333.0,80112.0,64790.0,52830.0,62437.0,85511.0,77542.0,66764.0,81219.0,74649.0,60158.0,38488.0,40708.0,43505.0,39794.0,12726.0,40638.0,53596.0,47526.0,32223.0,31388.0,66744.0,52591.0,71251.0
29382,Staphylococcus cohnii,S,1279,27007.0,24926.0,32900.0,28614.0,26261.0,35385.0,34300.0,25081.0,24306.0,36310.0,29124.0,28477.0,23093.0,25965.0,36404.0,25788.0,27755.0,37440.0,23958.0,103312.0,33135.0,26844.0,29939.0,39102.0,89407.0,26917.0,26010.0,31264.0,29267.0,84279.0,22261.0,30718.0,43327.0,95835.0,42182.0,27964.0,28917.0,29336.0,25633.0,25921.0,33196.0,29359.0,33493.0,22573.0,32355.0,33727.0,37807.0,27322.0,37048.0,50192.0,28421.0,37519.0,30363.0,22334.0,66222.0,22072.0,29035.0,34044.0,29302.0,22617.0,88687.0,38219.0,28913.0
1283,Staphylococcus haemolyticus,S,1279,25502.0,24867.0,30654.0,27725.0,25522.0,34421.0,32127.0,23942.0,23309.0,35576.0,28832.0,27533.0,22422.0,24895.0,35571.0,25478.0,27351.0,36212.0,23637.0,95191.0,32299.0,27341.0,28920.0,39372.0,82324.0,26241.0,25454.0,30319.0,28513.0,81283.0,22221.0,29745.0,40912.0,85933.0,41244.0,27524.0,28934.0,29343.0,25790.0,26800.0,33187.0,29658.0,33062.0,22259.0,32137.0,33779.0,37872.0,27425.0,37196.0,50563.0,27636.0,36660.0,30157.0,22255.0,64614.0,21944.0,28613.0,33845.0,29345.0,23086.0,85996.0,37630.0,28729.0
1280,Staphylococcus aureus,S,1279,24147.0,25305.0,28015.0,25777.0,24520.0,73503.0,30128.0,22946.0,21993.0,32992.0,27421.0,26067.0,21198.0,23110.0,34136.0,24454.0,25964.0,33271.0,23629.0,86811.0,29215.0,25418.0,26795.0,35902.0,79855.0,26151.0,24537.0,29498.0,27349.0,75650.0,21533.0,27073.0,51844.0,88528.0,40761.0,24556.0,28068.0,26590.0,22440.0,23469.0,29346.0,25538.0,28780.0,19790.0,27444.0,29203.0,33236.0,24266.0,32021.0,46051.0,24917.0,32668.0,26430.0,19461.0,58974.0,19143.0,25116.0,30107.0,25915.0,20161.0,85270.0,35411.0,26756.0
1286,Staphylococcus simulans,S,1279,21948.0,21454.0,25954.0,23768.0,21758.0,29515.0,28000.0,20485.0,20054.0,31043.0,24790.0,23666.0,18757.0,21368.0,30716.0,21853.0,23464.0,30914.0,20210.0,87266.0,27267.0,22732.0,24948.0,34440.0,76073.0,22444.0,21625.0,26546.0,24406.0,73134.0,17991.0,25816.0,36566.0,78759.0,36007.0,23153.0,25171.0,24796.0,21432.0,22076.0,28291.0,24835.0,27916.0,18940.0,26822.0,28393.0,32283.0,23105.0,31176.0,44682.0,23558.0,31678.0,,18385.0,58498.0,,24013.0,28413.0,25162.0,,80895.0,,24567.0
1457195,Ralstonia solanacearum Rs-10-244,S1,305,22834.0,21011.0,27651.0,23579.0,23525.0,61389.0,27538.0,22458.0,22064.0,31783.0,27747.0,23889.0,21860.0,21813.0,28762.0,16902.0,24433.0,28868.0,18966.0,56097.0,25852.0,23674.0,22985.0,30569.0,48255.0,24049.0,24969.0,26678.0,26534.0,42503.0,22263.0,26229.0,28165.0,55846.0,34849.0,26554.0,26600.0,26989.0,24173.0,25278.0,31347.0,28234.0,29978.0,20604.0,29605.0,29826.0,31046.0,24642.0,32012.0,33011.0,22362.0,28077.0,23473.0,18014.0,28288.0,17489.0,21398.0,23992.0,17597.0,15056.0,28767.0,20901.0,20157.0
305,Ralstonia solanacearum,S,48736,22357.0,20570.0,27102.0,22956.0,22974.0,60765.0,26988.0,21869.0,21439.0,31161.0,27233.0,23376.0,21346.0,21263.0,28249.0,16426.0,23885.0,28320.0,18455.0,55294.0,25153.0,23125.0,22364.0,29946.0,47634.0,23464.0,24387.0,26058.0,26019.0,41883.0,21714.0,25676.0,27536.0,55222.0,34191.0,25969.0,25980.0,26404.0,23625.0,24802.0,30727.0,27686.0,29321.0,20163.0,28984.0,29097.0,30461.0,24164.0,31356.0,32426.0,21920.0,27709.0,23107.0,17756.0,27991.0,17126.0,21102.0,23587.0,17338.0,14763.0,28365.0,20567.0,19682.0
72407,Klebsiella pneumoniae subsp. pneumoniae,S1,573,19804.0,20339.0,21947.0,21804.0,23735.0,41542.0,25542.0,21140.0,17823.0,28420.0,23345.0,24606.0,18689.0,15697.0,23338.0,23684.0,21316.0,21746.0,23881.0,80552.0,25754.0,24244.0,22617.0,21550.0,65560.0,19752.0,19274.0,17763.0,27821.0,58854.0,20363.0,17669.0,32215.0,77730.0,23152.0,23303.0,26799.0,27122.0,22064.0,20540.0,18313.0,23331.0,23375.0,20264.0,22606.0,21410.0,24702.0,26844.0,23554.0,24364.0,23299.0,22513.0,22078.0,22158.0,55299.0,14708.0,19726.0,26601.0,13904.0,20255.0,31007.0,18613.0,31027.0
1747,Cutibacterium acnes,S,1912216,1538.0,3810.0,3452.0,8920.0,2365.0,9283.0,47554.0,2082.0,1696.0,3561.0,2644.0,25073.0,905.0,4406.0,4044.0,2103.0,2468.0,51185.0,2103.0,19131.0,1636.0,1949.0,1635.0,120099.0,19951.0,1645.0,1788.0,4004.0,1372.0,263116.0,2623.0,3831.0,32106.0,17320.0,58200.0,33335.0,30142.0,25302.0,22058.0,27820.0,34758.0,31544.0,30261.0,18228.0,31712.0,31575.0,36217.0,25889.0,38173.0,53344.0,29228.0,43285.0,27340.0,20539.0,92578.0,20264.0,26386.0,31465.0,21801.0,17695.0,53370.0,27071.0,34629.0
166122,Human endogenous retrovirus K113,S1,45617,31828.0,19458.0,27255.0,41251.0,31890.0,32949.0,19045.0,12211.0,12219.0,18658.0,33646.0,48811.0,32390.0,18142.0,26477.0,37424.0,33314.0,20132.0,58633.0,1013.0,14947.0,38777.0,24222.0,10651.0,9075.0,22725.0,34204.0,16849.0,38375.0,2499.0,26954.0,20226.0,33895.0,1715.0,9908.0,28284.0,21199.0,43964.0,41691.0,26779.0,7132.0,28487.0,23338.0,17752.0,20532.0,23125.0,19671.0,43139.0,13928.0,39075.0,30483.0,14780.0,33156.0,34742.0,1201.0,20783.0,13814.0,30204.0,15919.0,30896.0,26166.0,18414.0,51701.0
1282,Staphylococcus epidermidis,S,1279,,,25601.0,23657.0,,29513.0,29512.0,,,29864.0,24130.0,23977.0,,20876.0,30094.0,,,33283.0,,86642.0,,,,43690.0,74067.0,,,,,99519.0,,,39960.0,77481.0,36614.0,23109.0,,24491.0,,22243.0,28564.0,25040.0,27784.0,,26619.0,28580.0,31900.0,,31286.0,45059.0,23702.0,31936.0,25412.0,18662.0,59261.0,,,28886.0,25641.0,,82518.0,37424.0,24876.0
1290,Staphylococcus hominis,S,1279,21352.0,,,,,29370.0,27464.0,20297.0,,29931.0,24185.0,,18385.0,,,,,31342.0,,87627.0,27110.0,22471.0,,33896.0,73976.0,,21269.0,,,75075.0,,,37736.0,76442.0,35628.0,,24856.0,,21126.0,21933.0,,,27528.0,,,28101.0,,,,44657.0,23519.0,,25395.0,,58412.0,,,28458.0,,,82678.0,34050.0,24875.0
527028,Bacillus thuringiensis serovar pulsiensis BGSC 4CC1,S2,180877,13305.0,11348.0,11571.0,9597.0,19712.0,12091.0,22983.0,13513.0,14120.0,22241.0,17905.0,24188.0,9088.0,10713.0,14472.0,17058.0,16761.0,17157.0,14372.0,1673.0,34798.0,17461.0,27928.0,7941.0,3251.0,14203.0,12822.0,6337.0,20833.0,3013.0,21805.0,14190.0,32559.0,2487.0,17842.0,16463.0,19890.0,28170.0,26720.0,26221.0,14322.0,25142.0,26055.0,36915.0,31385.0,26055.0,21407.0,36816.0,23801.0,22985.0,11069.0,9637.0,16458.0,20640.0,1883.0,12846.0,21373.0,13174.0,9933.0,14754.0,25413.0,28528.0,39365.0
1491,Clostridium botulinum,S,1485,2599.0,5574.0,12144.0,9991.0,9467.0,5597.0,4187.0,1567.0,2158.0,3186.0,3096.0,6192.0,2635.0,1681.0,8161.0,21429.0,5062.0,2419.0,2725.0,1931.0,19529.0,3283.0,8439.0,4055.0,6606.0,5061.0,10905.0,7197.0,5448.0,5323.0,5148.0,3676.0,74545.0,5718.0,17419.0,22536.0,25634.0,32026.0,23917.0,40090.0,70525.0,53833.0,30940.0,22107.0,39213.0,50857.0,31582.0,34848.0,51780.0,28633.0,15641.0,24262.0,12636.0,18360.0,4910.0,14209.0,23660.0,18466.0,7121.0,13831.0,46487.0,28163.0,38260.0
550,Enterobacter cloacae,S,354276,8244.0,8362.0,13539.0,11106.0,10912.0,24583.0,14410.0,15278.0,9993.0,17535.0,10153.0,12614.0,8267.0,7121.0,11529.0,8660.0,9973.0,13436.0,10006.0,81199.0,15376.0,11371.0,9848.0,14921.0,62230.0,8335.0,7878.0,9693.0,11827.0,55940.0,10208.0,10505.0,18888.0,77435.0,17271.0,10364.0,14400.0,9812.0,9467.0,9523.0,13533.0,12580.0,13588.0,8492.0,11701.0,12385.0,13651.0,13196.0,16721.0,10006.0,11602.0,14329.0,10334.0,9319.0,54024.0,7862.0,8009.0,12857.0,7864.0,9137.0,18376.0,8011.0,14578.0
562,Escherichia coli,S,561,6207.0,6792.0,12502.0,8600.0,8927.0,11257.0,12475.0,13253.0,8547.0,17422.0,8109.0,10287.0,5675.0,6155.0,10396.0,5623.0,7410.0,11807.0,6501.0,83736.0,13862.0,9115.0,7918.0,14520.0,65828.0,6674.0,5508.0,9621.0,9639.0,58571.0,8140.0,8882.0,17685.0,83466.0,18554.0,8952.0,13379.0,6653.0,6558.0,7244.0,13613.0,11606.0,11704.0,5336.0,9654.0,11908.0,12143.0,9584.0,16390.0,7261.0,9793.0,14434.0,7710.0,7103.0,57055.0,5795.0,6992.0,10103.0,7670.0,6686.0,16903.0,7063.0,12090.0
2184519,Hydrogenophaga sp. NH-16,S,2610897,3451.0,4495.0,10814.0,9379.0,6183.0,5828.0,4805.0,2544.0,3078.0,3637.0,2794.0,4513.0,2244.0,2648.0,5932.0,15823.0,3788.0,2881.0,2561.0,8010.0,13925.0,2727.0,5856.0,5842.0,9444.0,3903.0,8316.0,7097.0,4233.0,12782.0,5902.0,4492.0,47526.0,10746.0,14395.0,16217.0,19111.0,21979.0,17277.0,28531.0,48544.0,36838.0,22357.0,14880.0,26917.0,35821.0,23027.0,23111.0,33992.0,21904.0,10935.0,18727.0,9910.0,13964.0,7940.0,10316.0,16372.0,13234.0,5710.0,11007.0,35666.0,17099.0,23052.0
44283,Pasteurella multocida subsp. multocida,S1,747,8138.0,8921.0,7510.0,11640.0,8663.0,37019.0,10932.0,7849.0,8352.0,7707.0,7833.0,19970.0,9008.0,6679.0,9369.0,14827.0,9558.0,10714.0,14460.0,1676.0,26143.0,9104.0,10258.0,9759.0,4345.0,11858.0,13920.0,7334.0,8108.0,9439.0,11096.0,10605.0,52326.0,2066.0,9796.0,16331.0,13512.0,16843.0,13694.0,15685.0,12241.0,17814.0,9528.0,16574.0,14250.0,20234.0,14471.0,16515.0,6124.0,16719.0,10538.0,9980.0,10781.0,11352.0,3451.0,10342.0,17315.0,8326.0,4892.0,10426.0,11635.0,8998.0,17957.0
33011,Cutibacterium granulosum,S,1912216,,,1702.0,7879.0,1212.0,4105.0,19294.0,,,,1704.0,12708.0,,,,,,22353.0,,4957.0,,1014.0,,42225.0,7114.0,,,,,84414.0,,,15551.0,5755.0,32511.0,17325.0,16854.0,14700.0,12923.0,17295.0,19544.0,15416.0,16719.0,9730.0,15968.0,16916.0,18776.0,13534.0,19127.0,21110.0,16124.0,22834.0,16912.0,11143.0,43623.0,12631.0,14608.0,17533.0,13132.0,10348.0,31616.0,16568.0,17718.0
29388,Staphylococcus capitis,S,1279,,,,,,29112.0,,,,,,,,20924.0,29947.0,,,,,84581.0,,,,33943.0,,,,,,72350.0,,,37238.0,76707.0,,,24836.0,24296.0,21072.0,21943.0,,,,,26528.0,,31935.0,,,,23496.0,31859.0,25420.0,,,18363.0,,,25342.0,,88810.0,,
1734925,Cutibacterium acnes subsp. acnes,S1,1747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58699.0,33456.0,30252.0,25592.0,,,35032.0,31772.0,,,31827.0,,36371.0,26041.0,38280.0,53453.0,,43633.0,,,92906.0,,,31650.0,,,53516.0,,34880.0
